业务大类,描述,业务小类,描述,经济活动,描述
生命周期,是指企业等主体从设立运营到有序退出的全流程业务集合，覆盖企业持续经营阶段的核心管理与交易活动。,设立,指企业等主体从筹备、注册登记到取得主体资格的一系列初始成立行为，不涉及后续经营活动。,设立,指企业等主体为取得合法经营主体资格，从筹备到正式成立的全流程法定行为，包括设立规划、工商登记、税务登记、银行账户开立等。
,,采购,指企业等主体为维持经营所需，对外购买货物、服务等有偿或无偿获取资源的行为。,采购货物,指企业等主体为生产、经营、使用等目的，对外购买有形实物、电力、热力、气体、房产、房屋、建筑物、构筑物等货物或资产，或者将采购货物的退回、采购时获取买赠\折让\商业折扣\现金折扣\返利等优惠、无偿收受货物的行为。
,,,,采购服务,指企业等主体对外购买或获取劳务、技术、咨询、运输、维修、租赁、外包、保险、建筑安装等非实物类服务的行为，或将采购服务的退回、采购时获取买赠\折让\商业折扣\现金折扣\返利等优惠、无偿收受服务的行为，采购以取得服务成果、劳务价值、使用权利为目的，不涉及实物所有权转移，也包括从政府事业单位获取的程序性服务支持，如诉讼、财产保全、执行等。
,,,,采购无形资产,指企业等主体有偿或者无偿购入专利、商标、软件、非专利技术、知识产权、土地使用权等行为。
,,生产,指企业等主体对原材料、半成品进行领用、生产，形成产成品产出的过程，包含研发活动，但不包含采购与销售。,生产货物,指企业等主体领用或投入原材料、同时投入人工、设备、水、电等，将原材料、半成品进行加工、装配、制造，生产过程中可能涉及研究、开发、或者产生废水废气废渣等污染物，最终形成货物的内部价值创造过程，属于生产环节的核心活动。
,,销售,指企业等主体对外提供产品、服务并取得收入、回款的行为，以及无偿提供货物、服务的行为，不含内部生产与单纯资金往来。,销售货物,指企业等主体对外有偿或无偿转让商品、原材料等有形实物、电力、热力、气体、房产、房屋、建筑物、构筑物等货物或资产等的行为，包括销售二手车、处置废料，或者收到销售退回、销售时给于买赠\折让\商业折扣\现金折扣\返利等优惠。
,,,,提供服务,指企业等主体对外有偿或无偿提供劳务、技术、咨询、运输、维修、租赁、建筑安装等非实物类服务，或者收到销售退回、销售时给于买赠\折让\商业折扣\现金折扣\返利等优惠、无偿转让货物的行为。包括销售以上各类服务后涉及的收入确认及相关税金的处理。也包括政府事业单位提供的程序性服务支持，如诉讼、财产保全、执行等。
,,,,复合交易,指同一合同或同一商业目的下，同时包含销售货物、提供服务等多项履约内容的交易行为，如EPC项目、销售活动板房等自产货物同时提供建筑安装服务、销售软件产品并提供安装维护服务等、充换电业务中销售电力产品提供蓄电池更换等服务。
,,,,销售无形资产,指企业等主体有偿或者无偿销售\转让专利、商标、软件、非专利技术、知识产权、土地使用权等行为。
,,人资,是指企业等主体对员工开展的管理活动。,职工薪酬,指企业等主体根据职工提供的劳动数量和质量，向职工支付的各类劳动报酬及相关对价的行为，具体报酬包括工资、奖金、津贴、补贴、加班工资、带薪缺勤工资、福利、工伤赔偿等。
,,,,职工残保金,指企业等主体向税务或残联部门申报、计算、缴纳残保金的一系列行为。
,,,,职工保险及公积金,指企业等主体为职工计算（社保缴纳基数确定）、申报、缴纳法定社会保障、住房保障、商业保险等相关费用的行为，具体包括养老保险、医疗保险、失业保险、工伤保险、生育保险、住房公积金、补充医疗保险、补充养老保险。
,,,,工会经费,指企业等主体为职工申报、计算（基数确定）、缴纳工会经费的一系列行为。
,,,,股权激励,指企业等主体为激励、留住核心员工，授予职工（或核心人员）公司股权、股权期权、限制性股票等权益类工具，职工在满足约定条件后可取得相应权益或收益的长期激励行为。
,,,,离职补偿,指企业等主体与员工解除或终止劳动合同关系时，按照法律法规规定、劳动合同约定或双方协商一致，向离职员工支付的一次性经济补偿款项。
,,资金,指企业等主体的资金筹集、资金投放、资金收付等资金业务。,股东注资及减资,指股东或投资者向企业等主体投入或收回资金、实物资产或无形资产的行为，包括增加或减少注册资本、注入或撤回资本（包括用货币、实物、无形资产、股权、债权等各种形态出资或通过资本公积转增资本）、非货币性资产评估、工商注册资本变更等行为。
,,,,股东分红,指企业等企业对外投资并持有股权产生投资收益的处理，包括公司分配股息、红利过程中，做出决议、利润核算、弥补亏损、提取公积金、代扣代缴个税等行为，也包含个人独资企业分配经营所得、合伙企业分配经营所得的行为。
,,,,债券发行,指发行人为筹集经营、投资所需资金，依照法定程序向社会公众或特定投资者发行债券，承诺在约定期限内还本付息的直接融资行为，包括评估资质、审计发行等。
,,,,金融商品交易,指企业等主体以获取投资收益、规避风险为目的，对各类金融商品进行买入、卖出或持有、处置的交易行为，包括买卖第三方发行的股票、债权、基金、理财产品、期货期权等。
,,,,借款,指债务人为弥补经营资金缺口、满足投资或经营需求，向金融机构（如银行）或非金融机构、个人借入资金，并约定还款期限、利率及还款方式，到期需足额偿还本金及利息的资金融通行为，仅是单纯的资金往来，不包括货物、服务交易形成的债权债务及其利息、债务重组、债务豁免。
,,,,债务重组,指债务人与债权人就到期或即将到期的债务，因债务人出现财务困难、无法按期足额清偿债务，经双方协商一致或法院裁定，对债务的本金、利息、还款期限、还款方式等进行重新调整、修改的行为，包括豁免债务，用其他资产抵偿债务、债权转股权、修改债务偿还期限、降低债务利率等。
,,,,资金捐赠,指企业等主体收到资金捐赠或者对外进行资金捐赠。
,,,,收汇付汇,指企业等主体在跨境交易（如出口、进口、跨境服务、跨境投资等销售或采购）中，发生的外汇资金收入与支出行为，包括收汇、付汇、结汇（货币兑换）等行为。
,,,,赔付,指企业等主体收到或支付赔付款、滞纳金、罚款等的行为，包括收到保险赔偿、收到员工违规罚款、支付赔付款（如违约金、赔偿金、业务罚款、行政罚款等）、因税金延迟缴纳产生的滞纳金或罚款。
,,,,政府补助,指企业等主体收到各类政府补贴、扶持资金、奖励、返还、即征即退等优惠政策的行为，如以旧换新补助等。
,,资产,是指企业等主体购入（自建）、持有、卖出不动产及无形资产所涉及到的业务。,建造不动产,指企业等主体通过自行施工、委托施工等方式，新建、改建、扩建房屋、建筑物、构筑物等不动产的行为。
,,,,租赁资产,指企业等主体有偿或者无偿租入、租出资产。
,,,,资产更新改造,指企业等主体对资产进行升级、改造、改良的行为，不包括不动产的新建、改建及扩建。
,,,,资产损耗,指企业等主体在资产使用过程中或闲置状态下，因自然磨损、技术淘汰、意外事故、市场贬值等原因，导致价值减少、功能下降或形态损坏的现象。
,,终止经营,指企业等主体终止经营时，做出决议、财务清算、税务清算、税务注销、工商注销的整体过程。,注销,指企业等主体因经营终止、解散、破产等原因，依法办理主体资格终止的全流程行为，包括终止经营决议、财务清算（包括清算期内偿还债务、处置资产、分配收益、投资收回等）税务清算、税务注销、工商注销等一系列具体活动。
特殊事项,是指企业等主体在常规经营之外发生的、具有偶发性与重大影响的非持续性业务，通常涉及企业结构、产权关系或经营模式的重大调整。,企业重组,指企业等主体进行整体或部分股权变动、整体资产收购、架构设计规划等，变动组织架构的行为。,股权变动,指企业等主体发生的股权持有比例、股权归属主体发生变更的行为，包括收购企业整体/部分股权、转让企业整体/部分股权。
,,,,整体资产收购,指收购方通过支付对价的方式，受让转让方全部或几乎全部经营性资产的交易行为。包括收购个人独资企业、合伙企业的核心经营资产、经营权及对应负债。
,,,,架构规划,指企业等主体为实现战略目标、优化经营管理效率，对自身组织架构、业务架构、管理架构、治理架构等进行系统性设计、梳理与规划的行为，包括业务拆分、选择经营主体、选择地址、选择税收优惠、规划分红路径、规划关联交易等行为。
