"唯一问题编号
(自动生成)",问题,经济活动,具体形式,特殊主体,特殊行业,备注,财税类型,原答案,政策引文,标注答案
gzb1_032,对方公司以房抵给我们的款项，现在出现这样一个事，就是他的房只值200多万，要抵我们500万的款。如果房屋抵了之后，另外300万就不会有了，清账了。那这个是债务重组的损失300怎么做账,债务重组,,,,,财务,"债务重组损失账务上计入投资收益（企业会计准则）或营业外支出（小企业会计准则），具体参考以下举例：
借：固定资产 200万/1.09
应交税费—应交增值税（进项税额）（如涉及）200万/1.09*0.09
投资收益（企业会计准则）/营业外支出（小企业会计准则） 300万
贷：应收账款 500万
",,"会计处理：
债务重组损失账务上计入投资收益（企业会计准则）或营业外支出（小企业会计准则），具体参考以下举例：
借：固定资产 200万/1.09
应交税费—应交增值税（进项税额）（如涉及）200万/1.09*0.09
投资收益（企业会计准则）/营业外支出（小企业会计准则） 300万
贷：应收账款 500万"
gzb1_061,我公司执行小企业会计准则，2023年收到保险公司赔偿的吊车保险费1万多元，原计入应付款科目。该保险赔偿款是否可以转入营业外收入，还是需要红冲成本？,赔付,,,,,财务,"建议转入营业外收入
借：应付账款
贷：营业外收入
提醒：实际应在2023年确认营业外，您这个有晚缴纳企业所得税的风险。",,"由于已跨期，且涉及前期差错，小企业会计准则允许简化处理，通常通过“利润分配—未分配利润”或直接调整当期损益。建议会计处理：
借：其他应付款 / 应付账款    10,000
贷：利润分配—未分配利润 / 营业外收入   10,000
注：您公司在2023年已实际收到赔款，即使会计误记为“应付款”，税法上2023年就已产生纳税义务。应向主管税务机关申请更正2023年度企业所得税年度纳税申报表，补报该笔收入。"
gzb1_066,企业实际业务为租赁会议室，但收到会议费发票，作为受票方能否将会议费发票计入租赁费科目？,租赁资产,,,,,财务,"会议费发票原则上应按发票内容计入会议费科目，计入租赁费不合适。
对方提供场地并附加了一些服务，就属于会议服务，如果只是提供场地，就按不动产租赁处理。您可以根据此再判断下，如属于租赁费的，会议费发票入租赁费科目不合规。",,"会议费发票原则上应按发票内容计入会议费科目，计入租赁费不合适。
对方提供场地并附加了一些服务，就属于会议服务，如果只是提供场地，就按不动产租赁处理。您可以根据此再判断下，如属于租赁费的，会议费发票入租赁费科目不合规。"
gzb1_067,我们单位是加盟酒店，美团携程的收入直接进入维也纳账户，维也纳在销售收入中扣完服务费、管理费后返款给我们，如何做账务处理,采购服务,,,,,财务,"未收到钱是可以先入应收账款，具体账务处理参考：
1、确认收入，结转成本：
借：应收账款
贷：主营业务收入
应交税费-应交增值税（销项税额）/ 应交税费-应交增值税（适用于小规模纳税人）
借：主营业成本
贷：银行存款等
2、收钱时确认销售费用
借：银行存款
销售费用
应交税费-应交增值税（进项税额）如涉及
贷：应收账款",,"
加盟酒店若执行《企业会计准则》，应按总额法确认收入，即以客户支付的全额确认主营业务收入，并将平台佣金、品牌管理费等作为费用列支，因其作为主要责任人主导交易并转移服务控制权；若适用《小企业会计准则》，虽无明确总额/净额区分要求，实务中通常也按全额确认收入，更贴合业务实质且便于税务处理。

1.酒店在平台产生销售时
此环节不直接涉及资金流入，但需根据业务实质确认收入。
会计分录：
借：应收账款 — 维也纳品牌方
贷：主营业务收入
        应交税费 — 应交增值税（销项税额）
2.收到维也纳返款结算单时
（1）确认平台服务费（给美团/携程的部分）： 通常此费用由维也纳代收代付。
会计分录：
借：销售费用 — 平台服务费/佣金
贷：应收账款 — 维也纳品牌方
（2）确认品牌管理费（支付给维也纳的部分）：
会计分录：
借：管理费用 — 品牌管理费
贷：应收账款 — 维也纳品牌方
3.实际收到维也纳返款时
会计分录：
借：银行存款
贷：应收账款 — 维也纳品牌方"
gzb1_070,你好，我想问一下厂房租赁费用，一次性付清一年，入账怎么入，怎么做摊销,租赁资产,,,,,财务,"一次性付清一年房租，账务上可以先入预付账款，后期按月摊销至成本费用中。账务处理参考：
借：预付账款
应交税费-应交增值税（进项税额）如涉及
贷：银行存款
按月摊销
借：管理费用-租金
贷：预付账款",,"一次性付清一年房租，账务上可以先入预付账款，后期按月摊销至成本费用中。账务处理参考：
借：预付账款
       应交税费-应交增值税（进项税额）如涉及
贷：银行存款
按月摊销
借：管理费用/制造费用-租赁费
贷：预付账款"
gzb1_071,请问劳务公司，日常的开票金额-已收款金额，形成的应收账款。现在我们想要降低应收账款的金额，但是开票跟已收款数又是无法更改的数据，减少应收账款数据的方式有哪些,提供服务,,,,,财务,"建议积极与对方协商索要欠款，如果应收账款无法收回，应收账款可作为坏账损失，核销坏账时可冲减应收账款，其他无较好办法。
提醒，坏账损失税前扣除的资料建议准备齐全，以免所得税税前不能扣除。",,"降低应收账款，最直接的办法是积极催收，若催收后仍需账务处理，主要方法有：
1.对冲预收：若有客户预付款，直接冲抵应收。
2.核销坏账：对确无法收回的款项，履行内部审批和外部取证程序后核销。
3.纠正差错：发现开票或记账错误后，通过红字发票或更正分录调整。
4.债务抵销：与存在双向交易的客户签订协议，以应付账款抵销应收。
注：任何调整都必须以真实业务或有效凭证为依据（如对账函、抵债协议、坏账证明），履行内部审批，并确保税务合规。禁止无依据调账。"
gzb1_081,我公司有个员工，去年入职的，在公司工作了一个多月，后来辞退了，经法院起诉，补给了她16500元工资，请问这个该如何做账呢,离职补偿,,,,,财务,"账务处理您可以参考：
借：管理费用—职工薪酬（辞退福利）
贷：应付职工薪酬—解除职工劳动关系补偿
借：应付职工薪酬—解除职工劳动关系补偿
贷：银行存款
您可以参考：《企业会计准则第9号—职工薪酬》第六条。",,"《企业会计准则第9号——职工薪酬》第二十条，其中要求企业在特定时点确认辞退福利产生的职工薪酬负债并计入当期损益。
《企业会计准则应用指南》附录 会计科目和主要账务处理 ，2211  应付职工薪酬：因解除与职工的劳动关系给予的补偿，借记“管理费用” 科目，贷记本科目。
《小企业会计准则释义2011》第五十条条文解读明确，因解除与职工的劳动关系给予的补偿，均应当在发生时计人当期损益，即管理费用。
账务处理您可以参考：
借：管理费用—职工薪酬（辞退福利）
贷：应付职工薪酬—解除职工劳动关系补偿
借：应付职工薪酬—解除职工劳动关系补偿
贷：银行存款"
gzb1_128,生产型企业出口，FOB方式，分录怎么做,销售货物,出口,,,,财务,"生产企业FOB方式出口退税的各环节账务您可以参考：
1、自产货物，分别核算出口和内销库存，用于出口时：
借：库存商品—外销
贷：生产成本等
2、货物出口后：
借：应收账款等
贷：主营业务收入—外销
借：主营业务成本—外销
贷：库存商品—外销
3、征退税率差计算出“免抵退税不予免征和抵扣税额”
借：主营业务成本
贷：应交税费——应交增值税(进项税额转出)
4、计算出“应退税额”和“免抵税额”
借：应收出口退税款
借：应交税费——应交增值税(出口抵减内销应纳税额)
贷：应交税费——应交增值税(出口退税)
5、收到退税款时的会计处理
借：银行存款
贷：应收出口退税款",,"生产企业FOB方式出口退税的各环节账务您可以参考：
1、自产货物，分别核算出口和内销库存，用于出口时：
借：库存商品—外销
贷：生产成本等
2、货物出口后：
借：应收账款等
贷：主营业务收入—外销
借：主营业务成本—外销
贷：库存商品—外销
3、征退税率差计算出“免抵退税不予免征和抵扣税额”
借：主营业务成本
贷：应交税费——应交增值税(进项税额转出)
4、计算出“应退税额”和“免抵税额”
借：应收出口退税款
借：应交税费——应交增值税(出口抵减内销应纳税额)
贷：应交税费——应交增值税(出口退税)
5、收到退税款时的会计处理
借：银行存款
贷：应收出口退税款"
gzb1_135,取得电信服务预付卡用于销售和充值，电信公司开具的，怎么做会计凭证？,采购服务,,,,,财务,"购买预付卡/充值卡的账务处理如下：
1、购买预付卡时：
借：预付账款
贷：银行存款
2、根据预付卡的用途结转“预付账款”：
借：管理费用等
贷：预付账款
需要有相应的消费记录，如电信公司对账单等。",,"情况一：如果公司是作为中间商，以销售商品为目的购买这些卡，需要确认收入和结转成本。
1. 购进预付卡时
借：库存商品 — 电信预付卡
贷：银行存款 
电信公司开具的发票是您公司作为购买方的入账凭证，发票上通常注明“预付卡销售和充值”字样，此环节电信公司开具不征税发票。
2. 对外销售并充值预付卡时
借：银行存款 / 应收账款
贷：主营业务收入 — 预付卡销售
        应交税费 — 应交增值税（销项税额）
借：主营业务成本
贷：库存商品 — 电信预付卡
注：单纯转售预付卡本身尚不属于增值税应税交易，但部分税务机关在征管中将转售方赚取的差价视为提供“经纪代理服务”而对其征收增值税。各地执行口径存在差异，建议以主管税务机关的明确意见为准。

情况二：如果您的公司仅作为代销或代充值渠道，不拥有卡的所有权，销售后与电信公司结算佣金，则按以下处理：
收到客户充值款时：作为代收款，计入“其他应付款”。将款项转给电信公司并确认佣金时：将代收款转出，并将赚取的佣金或手续费差额确认为“主营业务收入”或“其他业务收入”。
1.收到客户充值款时
借：银行存款
贷：其他应付款 — 代收电信充值款
2.为客户完成充值，并将款项支付给电信公司时
借：其他应付款 — 代收电信充值款
贷：银行存款
3.根据与电信公司的协议，确认佣金或手续费收入
借：银行存款 / 应收账款 — 某电信公司
贷：主营业务收入 / 其他业务收入
        应交税费 — 应交增值税（销项税额）
注：1.上述分录是电信公司直接支付佣金的会计处理。实务中，公司在代付款项时直接扣取佣金差额是常见的做法。
2.在代销收取佣金的模式下，取得电信公司的佣金或手续费收入按“经纪代理服务”缴纳增值税。"
gzb1_142,我们承包甲方的建筑劳务假如是100万，让后我们把它分包给丙方90万，丙方给我们开90万的普票，我们给甲方开100万的简易计税3%建筑劳务，我们是按100-90万差额交税，差额的增值税怎么记账,提供服务,,,,,财务,"差额的增值税通过应交税费-简易计税科目的借贷方差额来体现，具体分录如下：
1、支付分包款时
借：工程施工—合同成本
应交税费--简易计税
贷：银行存款等
2、按照完工进度确认当期收入时：
借：应收账款/银行存款
贷：主营业务收入
应交税费—简易计税
此时应交税费—简易计税的贷方余额就是差额要缴纳的增值税。
3、申报缴纳增值税时
借：应交税费--简易计税  
贷：银行存款",,"根据财会2016年22号关于差额征税的会计处理规定，差额的增值税通过应交税费-简易计税科目的借贷方差额来体现，具体分录如下：
1、支付分包款时
借：工程施工—合同成本
        应交税费--简易计税
贷：银行存款等
2、按照完工进度确认当期收入时：
借：应收账款/银行存款
贷：主营业务收入
        应交税费—简易计税
此时应交税费—简易计税的贷方余额就是差额要缴纳的增值税。
3、申报缴纳增值税时
借：应交税费--简易计税  
贷：银行存款
注：执行企业会计准则的企业，将工程施工替换为合同履约成本科目。此外，如果工程成本已结转，则计入主营业务成本。"
